,baseline,topology_augmented,max_weight,abs_change
KENTUCKY,0.47825340921246245,0.1590663933708579,0.47825340921246245,0.3191870158416046
NEBRASKA,0.22601512866948373,0.005079122826987588,0.22601512866948373,0.22093600584249615
MINNESOTA,0.0,0.21698544437282868,0.21698544437282868,0.21698544437282868
ARIZONA,0.0040548342418708005,0.16471040468744105,0.16471040468744105,0.16065557044557024
CALIFORNIA,0.0,0.1335051972466106,0.1335051972466106,0.1335051972466106
CONNECTICUT,0.10979956969808512,0.022287278080208583,0.10979956969808512,0.08751229161787653
NEVADA,0.07380986371050831,0.03155393446585824,0.07380986371050831,0.04225592924465007
IDAHO,0.0,0.07101936120411205,0.07101936120411205,0.07101936120411205
RHODE ISLAND,0.055655549099642904,0.00200023978412773,0.055655549099642904,0.053655309315515175
OHIO,0.04564500857991591,0.0006977559954280858,0.04564500857991591,0.04494725258448782
MONTANA,0.0,0.03905323289295013,0.03905323289295013,0.03905323289295013
NORTH DAKOTA,0.006766636788030101,0.03792079200406476,0.03792079200406476,0.031154155216034658
MARYLAND,3.559251798304043e-18,0.02108773965899456,0.02108773965899456,0.021087739658994558
MAINE,1.8642649401229523e-17,0.02009934391365781,0.02009934391365781,0.020099343913657794
LOUISIANA,4.527898329399143e-18,0.01648666838256597,0.01648666838256597,0.016486668382565968
MASSACHUSETTS,9.58537411142938e-18,0.01007432510127289,0.01007432510127289,0.01007432510127288
TEXAS,0.0,0.01000477486032601,0.01000477486032601,0.01000477486032601
NORTH CAROLINA,1.8166205056700822e-16,0.008507258876682428,0.008507258876682428,0.008507258876682246
ALASKA,0.0,0.007732786004861176,0.007732786004861176,0.007732786004861176
DISTRICT OF COLUMBIA,2.8356611387330647e-18,0.005292678630974964,0.005292678630974964,0.005292678630974962
NEW YORK,6.933356884579362e-18,0.004944982473119199,0.004944982473119199,0.004944982473119192
PENNSYLVANIA,1.3209060767936654e-17,0.0042800830204398664,0.0042800830204398664,0.004280083020439853
DELAWARE,0.0,0.002342785376554528,0.002342785376554528,0.002342785376554528
HAWAII,2.923686683378724e-16,0.002244440761864019,0.002244440761864019,0.0022444407618637265
IOWA,1.1113945214150707e-17,0.0006797013036547582,0.0006797013036547582,0.0006797013036547471
NEW MEXICO,2.2505426183268027e-17,0.0005904238314503227,0.0005904238314503227,0.0005904238314503002
INDIANA,0.0,0.000480057432321086,0.000480057432321086,0.000480057432321086
TENNESSEE,2.1061028295940313e-17,0.00036227421169844365,0.00036227421169844365,0.00036227421169842257
UTAH,5.613800417781725e-19,0.000360329763886546,0.000360329763886546,0.00036032976388654543
OKLAHOMA,0.0,0.0001883958269400956,0.0001883958269400956,0.0001883958269400956
COLORADO,1.0358692319582556e-17,0.00014744980796300603,0.00014744980796300603,0.00014744980796299568
WEST VIRGINIA,0.0,7.23164002466572e-05,7.23164002466572e-05,7.23164002466572e-05
WISCONSIN,0.0,3.647607034223381e-05,3.647607034223381e-05,3.647607034223381e-05
NEW JERSEY,0.0,3.5873349469525374e-05,3.5873349469525374e-05,3.5873349469525374e-05
MISSISSIPPI,0.0,2.6196040051142867e-05,2.6196040051142867e-05,2.6196040051142867e-05
VERMONT,9.828854542865719e-18,2.0194316147578382e-05,2.0194316147578382e-05,2.0194316147568553e-05
WASHINGTON,0.0,1.3190317157461502e-05,1.3190317157461502e-05,1.3190317157461502e-05
OREGON,1.0215369873925387e-17,6.40360626445777e-06,6.40360626445777e-06,6.403606264447555e-06
ALABAMA,3.457720841556494e-17,3.6403244259824706e-06,3.6403244259824706e-06,3.6403244259478935e-06
ILLINOIS,0.0,5.3404982180029886e-08,5.3404982180029886e-08,5.3404982180029886e-08
VIRGINIA,0.0,1.0981377934290318e-13,1.0981377934290318e-13,1.0981377934290318e-13
SOUTH DAKOTA,0.0,5.35047435735922e-14,5.35047435735922e-14,5.35047435735922e-14
KANSAS,0.0,2.5999291875418325e-14,2.5999291875418325e-14,2.5999291875418325e-14
WYOMING,0.0,1.1917858349112713e-14,1.1917858349112713e-14,1.1917858349112713e-14
NEW HAMPSHIRE,6.178862306843745e-19,8.415212599905738e-15,8.415212599905738e-15,8.414594713675054e-15
