date,treated,synthetic_baseline,synthetic_topology_augmented
2009-01-01,3.099999523800001,3.0016573638454407,2.8801987330417087
2009-02-01,3.6399999616,3.3589298751898355,3.352177444834701
2009-03-01,3.5400002482,3.645785260430833,3.5237092616539183
2009-04-01,3.11999979,3.756569101085319,3.4838048196991376
2009-05-01,3.9199999808,4.038466533845817,3.982936129332999
2009-06-01,4.0199997898,4.050593472397886,4.0697231504935605
2009-07-01,4.0999998092,4.095063963823667,4.201402183533592
2009-08-01,4.279999828399999,4.188319033325536,4.268318184046064
2009-09-01,4.2999995236,4.192424499791279,4.276879907654362
2009-10-01,4.339999865999999,4.169559326031814,4.30599321543787
2009-11-01,4.1200002674,3.864394100926933,4.116175558555134
2009-12-01,4.299999714400001,4.158882748897846,4.327726839331571
2010-01-01,4.500000094800001,4.552211147565137,4.501288180521423
2010-02-01,4.6399999616,4.694292689286737,4.598920691647928
2010-03-01,4.439999867199999,4.389373875489196,4.411337229672408
2010-04-01,4.220000172000001,4.15712981431921,4.164757807488827
2010-05-01,4.020000361799999,4.053069536421662,4.137387344767096
2010-06-01,3.819999980800001,3.830304629741946,3.940418550526721
2010-07-01,4.200000191200001,3.94389686961356,4.1851413494870044
2010-08-01,4.279999828399999,4.045142346181851,4.183412920265829
2010-09-01,4.099999713599999,4.024249246264933,4.060796532487663
2010-10-01,4.140000057,3.931609478765577,3.996415852870229
2010-11-01,4.1200002674,3.917879912775968,4.010379453241892
2010-12-01,4.0999999044,3.832407277524223,3.971726901156652
2011-01-01,4.000000095800001,4.051855857814744,3.9263960330841416
2011-02-01,3.8399997706,3.913775257009228,3.797226629998992
2011-03-01,3.340000438199999,3.637566038624513,3.589844328629232
