mo_yr,date,treated,synthetic_topology_augmented,gap_centered_topology_augmented
397,2009-01-01,3.099999523800001,2.8801987330417096,0.20959694725683625
398,2009-02-01,3.6399999616,3.352177444834702,0.27761867326384265
399,2009-03-01,3.5400002482,3.523709261653919,0.006087143044625695
400,2009-04-01,3.11999979,3.48380481969914,-0.374008873200595
401,2009-05-01,3.9199999808,3.982936129333001,-0.07313999203445594
402,2009-06-01,4.0199997898,4.069723150493561,-0.059927204195016695
403,2009-07-01,4.0999998092,4.201402183533594,-0.11160621783504983
404,2009-08-01,4.279999828399999,4.268318184046067,0.0014778008524769931
405,2009-09-01,4.2999995236,4.276879907654363,0.01291577244418178
406,2009-10-01,4.339999865999999,4.305993215437872,0.023802807060672213
407,2009-11-01,4.1200002674,4.1161755585551365,-0.006379134656591748
408,2009-12-01,4.299999714400001,4.327726839331574,-0.037930968433028414
409,2010-01-01,4.500000094800001,4.501288180521425,-0.01149192922287963
410,2010-02-01,4.6399999616,4.598920691647931,0.030875426450614182
411,2010-03-01,4.439999867199999,4.41133722967241,0.018458794026134304
412,2010-04-01,4.220000172000001,4.164757807488828,0.045038521009717766
413,2010-05-01,4.020000361799999,4.137387344767098,-0.12759082646855385
414,2010-06-01,3.819999980800001,3.9404185505267226,-0.13062241322817697
415,2010-07-01,4.200000191200001,4.185141349487007,0.004654998211538516
416,2010-08-01,4.279999828399999,4.183412920265831,0.08638306463271288
417,2010-09-01,4.099999713599999,4.0607965324876645,0.02899933761087929
418,2010-10-01,4.140000057,3.9964158528702316,0.1333803606283131
419,2010-11-01,4.1200002674,4.010379453241894,0.0994169706566506
420,2010-12-01,4.0999999044,3.9717269011566536,0.11806915974189085
421,2011-01-01,4.000000095800001,3.9263960330841443,0.06340021921440124
422,2011-02-01,3.8399997706,3.797226629998994,0.03256929709955063
423,2011-03-01,3.340000438199999,3.5898443286292343,-0.26004773393069075
424,2011-04-01,3.2200001720000007,3.494793506368185,-0.2849971778696398
425,2011-05-01,3.319999599800001,3.5884090162384084,-0.2786132599398627
426,2011-06-01,3.2199995998000013,3.67143717621772,-0.461641419919174
427,2011-07-01,3.0000003812,3.844774301240831,-0.8549777635422864
428,2011-08-01,3.3800002104000004,3.589275078202215,-0.21947871130366997
429,2011-09-01,3.0000002855999988,3.4561003746287042,-0.4663039325301607
430,2011-10-01,2.739999962,3.241995865842016,-0.5121997473434712
431,2011-11-01,2.0199998854,2.842165011105219,-0.8323689692066745
432,2011-12-01,2.2000002864,2.924387319069748,-0.7345908761712032
433,2012-01-01,1.7999998098,2.8020322647574054,-1.0122362984588607
434,2012-02-01,2.0400000566000003,2.8018988790732577,-0.7721026659747128
435,2012-03-01,1.8399999621999996,2.56463414207404,-0.7348380233754956
436,2012-04-01,1.419999981,2.365668038469162,-0.9558719009706174
437,2012-05-01,1.6199997898000005,2.611284207672058,-1.001488261373513
438,2012-06-01,1.4199998858000002,2.549348406436339,-1.139552364137794
439,2012-07-01,1.9000000002000004,2.763178860800185,-0.8733827041016398
440,2012-08-01,1.7799998284000005,2.6227049177972166,-0.8529089328986714
441,2012-09-01,1.2000000955999992,2.284467144541374,-1.09467089244283
442,2012-10-01,1.4400002479999996,2.2869748139336763,-0.857178409435132
443,2012-11-01,1.0199998854,1.9704514721632014,-0.9606554302646566
444,2012-12-01,1.5000000004,2.1718152808289086,-0.6820191239303639
445,2013-01-01,1.7999998098,2.2667984972415263,-0.47700253094298145
446,2013-02-01,1.6399999616,2.050416640593517,-0.42062052249497234
447,2013-03-01,1.2400000571999996,1.827833812698458,-0.5980375989999136
448,2013-04-01,1.019999886,1.7845484428770069,-0.7747524003784623
449,2013-05-01,1.5199998858,1.9492362152033944,-0.43944017290484977
450,2013-06-01,1.4199998858000002,1.9134165607053852,-0.5036205184068403
451,2013-07-01,1.7000001912,1.92700884760157,-0.23721249990302534
452,2013-08-01,1.5800000194,1.857195561233255,-0.28739938533471027
