,weight
MINNESOTA,0.21698544437282896
ARIZONA,0.16471040468744128
KENTUCKY,0.15906639337085818
CALIFORNIA,0.13350519724661083
IDAHO,0.07101936120411212
MONTANA,0.03905323289295017
NORTH DAKOTA,0.037920792004064764
NEVADA,0.031553934465858254
CONNECTICUT,0.02228727808020854
MARYLAND,0.021087739658994534
MAINE,0.020099343913657836
LOUISIANA,0.016486668382565926
MASSACHUSETTS,0.010074325101272817
TEXAS,0.010004774860326018
NORTH CAROLINA,0.008507258876682414
ALASKA,0.007732786004861113
DISTRICT OF COLUMBIA,0.00529267863097491
NEBRASKA,0.005079122826987509
NEW YORK,0.004944982473119109
PENNSYLVANIA,0.004280083020439807
DELAWARE,0.0023427853765545037
HAWAII,0.002244440761864004
RHODE ISLAND,0.0020002397841277033
OHIO,0.0006977559954280012
IOWA,0.0006797013036547012
NEW MEXICO,0.0005904238314503009
INDIANA,0.0004800574323210008
TENNESSEE,0.00036227421169840067
UTAH,0.00036032976388650066
OKLAHOMA,0.0001883958269400003
COLORADO,0.00014744980796300023
WEST VIRGINIA,7.231640024665733e-05
WISCONSIN,3.647607034223387e-05
NEW JERSEY,3.5873349469525435e-05
MISSISSIPPI,2.619604005114291e-05
VERMONT,2.019431614757842e-05
WASHINGTON,1.3190317157461524e-05
OREGON,6.4036062644577805e-06
ALABAMA,3.640324425982477e-06
ILLINOIS,5.340498218002997e-08
VIRGINIA,1.0981377934290337e-13
SOUTH DAKOTA,5.350474357359229e-14
KANSAS,2.5999291875418366e-14
WYOMING,1.191785834911273e-14
NEW HAMPSHIRE,8.415212599905752e-15
